
Strength,distance,distance2
-24,0.14052234645313533,0.17378008287493754
-23,0.1252406731051121,0.15848931924611134
-23,0.1252406731051121,0.15848931924611134
-24,0.14052234645313533,0.17378008287493754
-22,0.11162086739743286,0.14454397707459277
-24,0.14052234645313533,0.17378008287493754
-23,0.1252406731051121,0.15848931924611134
-23,0.1252406731051121,0.15848931924611134
-23,0.1252406731051121,0.15848931924611134
-22,0.11162086739743286,0.14454397707459277
-22,0.11162086739743286,0.14454397707459277
-23,0.1252406731051121,0.15848931924611134
-24,0.14052234645313533,0.17378008287493754
-25,0.1576686659622318,0.19054607179632474
-25,0.1576686659622318,0.19054607179632474
-24,0.14052234645313533,0.17378008287493754
-23,0.1252406731051121,0.15848931924611134
-23,0.1252406731051121,0.15848931924611134
-22,0.11162086739743286,0.14454397707459277
-23,0.1252406731051121,0.15848931924611134
