
Strength,distance,distance2
-80,88.66360655819597,3.019951720402016
-82,111.62086739743287,3.630780547701014
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-82,111.62086739743287,3.630780547701014
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-82,111.62086739743287,3.630780547701014
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-81,99.48220278326448,3.311311214825911
-79,79.02152252331346,2.7542287033381663
-74,44.43706769431911,1.7378008287493754
-78,70.42800608166002,2.5118864315095797
-78,70.42800608166002,2.5118864315095797
-77,62.769026491168624,2.2908676527677736
-78,70.42800608166002,2.5118864315095797
-77,62.769026491168624,2.2908676527677736
