
Strength,distance,distance2
-32,0.3529761753795189,0.36307805477010135
-34,0.4443706769431911,0.436515832240166
-31,0.31459034744585784,0.3311311214825911
-32,0.3529761753795189,0.36307805477010135
-32,0.3529761753795189,0.36307805477010135
-32,0.3529761753795189,0.36307805477010135
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-32,0.3529761753795189,0.36307805477010135
-32,0.3529761753795189,0.36307805477010135
-32,0.3529761753795189,0.36307805477010135
-31,0.31459034744585784,0.3311311214825911
-31,0.31459034744585784,0.3311311214825911
-32,0.3529761753795189,0.36307805477010135
-36,0.5594295374599598,0.5248074602497725
-34,0.4443706769431911,0.436515832240166
