
Strength,distance,distance2
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-16,0.05594295374599592,0.08317637711026708
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-18,0.07042800608166006,0.1
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-16,0.05594295374599592,0.08317637711026708
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
-17,0.06276902649116868,0.09120108393559097
